time;hr
1508380920;73
1508381040;51
1508381160;72
1508381280;63
1508381400;66
1508381520;53
1508381640;61
1508381760;57
1508381880;48
1508382000;48
1508382120;45
1508382240;58
1508382360;44
1508382480;47
1508382600;47
1508382720;44
1508382840;55
1508382960;48
1508383200;46
1508383320;47
1508383440;51
1508383560;56
1508383680;45
1508383800;53
1508383920;51
1508384040;47
1508384160;43
1508384280;46
1508384400;47
1508384520;67
1508384640;44
1508384880;45
1508385000;43
1508385240;59
1508385480;85
1508385600;54
1508385840;52
1508387400;58
1508387640;47
1508387760;48
1508387880;53
1508388000;46
1508388120;47
1508388240;56
1508388360;52
1508388480;65
1508388600;56
1508388720;44
1508388840;51
1508388960;56
1508389080;45
1508389200;51
1508389320;52
1508389440;49
1508389560;67
1508389680;47
1508389800;75
1508389920;57
1508390160;52
1508390280;52
1508390520;54
1508390640;56
1508390760;69
1508390880;45
1508391000;47
1508391120;46
1508391240;47
1508391360;46
1508391480;46
1508391600;43
1508391720;41
1508391840;46
1508391960;49
1508392080;48
1508392200;53
1508392560;53
1508392680;55
1508392800;51
1508392920;61
1508393040;47
1508393400;51
1508393520;45
1508393640;54
1508393760;46
1508393880;48
1508394000;58
1508394120;49
1508394240;59
1508394360;49
1508394600;62
1508394720;45
1508394840;64
1508394960;47
1508395080;57
1508395320;49
1508395440;63
1508395560;88
1508395680;71
1508395800;73
1508395920;89
1508396040;76
1508457000;47
1508457120;53
1508457240;54
1508457360;46
1508457720;47
1508457840;46
1508457960;45
1508458080;45
1508458200;52
1508458320;53
1508458440;48
1508458560;51
1508458680;56
1508458800;51
1508458920;57
1508459040;69
1508459160;51
1508459280;54
1508459400;67
1508459760;55
1508459880;52
1508460000;53
1508460120;51
1508460240;51
1508460360;51
1508460480;55
1508460600;52
1508460720;46
1508460840;54
1508460960;54
1508461080;51
1508461200;54
1508461320;63
1508461440;67
1508461560;74
1508461680;46
1508462280;95
1508462520;44
1508462640;45
1508462880;46
1508463240;48
1508463360;47
1508463600;48
1508463720;54
1508463840;53
1508463960;47
1508464080;48
1508464200;45
1508464320;51
1508464440;49
1508464560;47
1508464680;44
1508464800;47
1508464920;49
1508465040;49
1508465160;49
1508465280;47
1508465400;48
1508465640;48
1508465760;48
1508465880;42
1508466000;68
1508466120;45
1508466240;55
1508466360;63
1508466480;45
1508466600;64
1508466720;45
1508467200;81
1508467320;44
1508467440;68
1508467560;68
1508467680;69
1508467800;42
1508467920;54
1508468040;47
1508468160;47
1508468280;56
1508468400;43
1508468520;49
1508468640;44
1508468760;47
1508468880;52
1508469120;47
1508469240;44
1508469360;45
1508469480;42
1508469600;45
1508469720;56
1508469840;62
1508469960;44
1508470080;56
1508470200;46
1508470320;46
1508470440;46
1508470560;48
1508470680;45
1508470800;47
1508470920;46
1508471040;47
1508471160;49
1508471280;45
1508471400;48
1508471520;47
1508471640;48
1508471760;46
1508471880;55
1508472000;47
1508472120;43
1508472240;46
1508472360;49
1508472480;49
1508472720;45
1508472960;47
1508473080;48
1508473200;49
1508473440;47
1508473560;48
1508473680;75
1508473800;71
1508473920;64
1508474040;48
1508474280;41
1508474400;47
1508474520;44
1508474640;89
1508474760;47
1508474880;45
1508475000;46
1508475120;45
1508475240;46
1508475360;47
1508475480;45
1508475600;47
1508475840;52
1508475960;45
1508476080;45
1508476200;45
1508476440;68
1508476560;41
1508476680;44
1508476800;45
1508477160;59
1508477280;66
1508477400;52
1508477520;73
1508477640;45
1508477760;65
1508477880;42
1508478000;44
1508478120;45
1508478240;45
1508478360;67
1508478480;46
1508478600;49
1508478840;65
1508478960;47
1508479080;74
1508479200;55
1508479320;46
1508479440;45
1508479680;45
1508479800;52
1508479920;47
1508480040;41
1508480160;44
1508480280;49
1508480520;46
1508480760;56
1508481000;48
1508481240;52
1508481360;48
1508481480;48
1508481600;49
1508481720;72
1508481840;59
1508481960;102
1508482080;89
1508482200;84
1508527980;68
1508528100;68
1508528220;111
1508528340;95
1508551560;51
1508551680;63
1508551800;65
1508551920;64
1508552040;56
1508552160;56
1508552400;61
1508552640;64
1508552760;65
1508552880;62
1508553480;72
1508554320;81
1508554440;51
1508554560;63
1508554680;73
1508554800;73
1508555280;65
1508555400;57
1508555520;48
1508556360;51
1508556480;52
1508556720;51
1508556840;55
1508556960;61
1508557080;49
1508557200;53
1508557320;54
1508557440;46
1508557560;53
1508557680;46
1508557800;53
1508557920;82
1508558040;57
1508558160;61
1508558280;57
1508558400;56
1508558520;53
1508558640;53
1508558760;65
1508558880;52
1508559000;63
1508559120;72
1508559480;55
1508559720;58
1508559840;65
1508559960;65
1508560080;61
1508560200;61
1508560320;63
1508560560;59
1508560680;57
1508560800;58
1508560920;54
1508561040;64
1508561160;57
1508561280;63
1508561400;58
1508561520;58
1508561640;58
1508561760;62
1508561880;57
1508562000;62
1508562120;58
1508562240;61
1508562360;55
1508562480;65
1508562600;58
1508562720;68
1508562840;72
1508562960;59
1508563080;63
1508563200;55
1508563320;65
1508563440;91
1508563560;54
1508563800;47
1508563920;52
1508564040;65
1508564160;57
1508564400;58
1508564520;55
1508564760;53
1508564880;66
1508565000;65
1508565120;46
1508565240;51
1508565360;53
1508565480;67
1508565600;57
1508565720;65
1508565960;62
1508566080;66
1508566200;52
1508566320;56
1508566440;54
1508566560;56
1508566680;61
1508566800;64
1508566920;57
1508567040;55
1508567160;52
1508567400;57
1508567640;62
1508567760;64
1508568000;66
1508568120;56
1508568240;75
1508568480;56
1508568600;52
1508568720;47
1508568840;75
1508568960;56
1508569080;72
1508569200;68
1508569320;88
1508569440;58
1508569680;67
1508569920;71
1508570040;56
1508570160;56
1508570400;54
1508570520;56
1508570640;44
1508570760;51
1508570880;61
1508571000;56
1508571120;56
1508571240;81
1508571360;68
1508571480;54
1508571600;68
1508571720;48
1508571960;66
1508572080;49
1508572200;67
1508572320;64
1508572560;62
1508572680;72
1508572800;57
1508572920;67
1508573040;64
1508573160;62
1508573280;55
1508573400;47
1508573640;47
1508573760;64
1508573880;63
1508574000;61
1508574120;61
1508574240;57
1508574360;58
1508574480;61
1508574600;61
1508574720;53
1508574840;61
1508574960;56
1508575080;58
1508575200;46
1508575320;59
1508575440;59
1508575560;56
1508575680;58
1508575800;74
1508575920;69
1508576040;54
1508576160;51
1508576280;54
1508576400;59
1508576520;67
1508576640;54
1508576760;57
1508577000;71
1508577120;75
1508577240;84
1508640300;48
1508640420;68
1508640540;44
1508640660;47
1508640780;65
1508640900;49
1508641020;58
1508641260;49
1508641380;49
1508641500;52
1508641620;48
1508641860;49
1508641980;64
1508642100;48
1508642220;53
1508642340;51
1508642580;51
1508642700;52
1508642940;52
1508643060;52
1508643300;46
1508643420;49
1508643540;52
1508643660;51
1508643780;44
1508643900;49
1508644020;55
1508644140;62
1508644260;63
1508644500;62
1508644620;66
1508645460;49
1508645700;46
1508645820;47
1508645940;46
1508646060;47
1508646180;47
1508646300;48
1508646420;44
1508646540;46
1508646660;56
1508646780;46
1508646900;52
1508647020;58
1508647140;51
1508647260;54
1508647380;54
1508647500;41
1508647620;51
1508647860;49
1508647980;49
1508648100;51
1508648220;51
1508648340;52
1508648460;49
1508648580;48
1508648700;56
1508648820;49
1508648940;77
1508649060;61
1508649180;63
1508649420;61
1508649540;55
1508649660;62
1508649780;44
1508650020;47
1508650140;54
1508650260;54
1508650380;68
1508650500;51
1508650620;64
1508650740;59
1508650860;56
1508650980;71
1508651100;78
1508651220;56
1508651460;55
1508651580;46
1508651700;69
1508651820;52
1508651940;59
1508652060;46
1508652180;72
1508652300;64
1508652420;57
1508652540;47
1508652900;57
1508653020;51
1508653140;57
1508653260;56
1508653380;58
1508653620;51
1508653740;44
1508653860;52
